Distribution,Attack,Strategy,Accuracy,F1,H2L_Rate,H2L_Count,Total_High
IID,flip_100%,FEDAVG,0.9510,0.9455,0.0415,10,241
IID,flip_100%,FEDAVG,0.3696,0.1798,1.0000,241,241
IID,flip_100%,KRUM,0.9686,0.9687,0.0041,1,241
IID,flip_100%,TRIMMED_MEAN,0.9755,0.9755,0.0041,1,241
